EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at https://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 12 SOUID  : Source identifier
 14- 53 SOUNAME: Source name
 55- 56 CN     : Country code (ISO3116 country codes)
 58- 66 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 68- 77 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 79- 82 HGTH   : Station elevation in meters
 84- 87 ELEI   : Element identifier (see website at Daily Data > Data dictionary > Elements)
 89- 96 START  : Begin date YYYYMMDD
 98-105 STOP   : End date YYYYMMDD
107-111 PARID  : Participant identifier
113-163 PARNAME: Participant name

STAID, SOUID,SOUNAME                                 ,CN,      LAT,       LON,HGHT,ELEI,   START,    STOP,PARID,PARNAME
 3217,116962,MARKOVO                                 ,RU,+64:40:59,+170:25:00,  25, TG1,18941101,20190228,   15,Vyacheslav Razuvaev                               
 3218,116967,ANADY'R'                                ,RU,+64:46:59,+177:34:00,  64, TG1,18980814,20190228,   15,Vyacheslav Razuvaev                               
 3219,116972,BUXTA PROVIDENIYA                       ,RU,+64:25:00,+186:46:00,  25, TG1,19360101,20130831,   15,Vyacheslav Razuvaev                               
 3220,116977,SEJMCHAN                                ,RU,+62:55:00,+152:25:00, 206, TG1,19360111,20190630,   15,Vyacheslav Razuvaev                               
 3221,116982,KAMENSKOE                               ,RU,+62:28:59,+166:13:00,  10, TG1,19500101,20190430,   15,Vyacheslav Razuvaev                               
 3222,116987,MAGADAN                                 ,RU,+59:33:00,+150:46:59, 115, TG1,19360101,20190630,   15,Vyacheslav Razuvaev                               
 3223,116992,KORF                                    ,RU,+60:21:00,+166:00:00,   2, TG1,19290701,20120531,   15,Vyacheslav Razuvaev                               
 3224,117019,NIZHNIJ NOVGOROD                        ,RU,+56:16:00,+044:00:00, 161, TG1,18810101,20190630,   15,Vyacheslav Razuvaev                               
 3225,117076,SAMARA                                  ,RU,+53:15:00,+050:13:00, 136, TG1,19360101,20190630,   15,Vyacheslav Razuvaev                               
 3226,117081,KOLPASHEVO                              ,RU,+58:18:00,+082:52:59,  73, TG1,19360101,20190630,   15,Vyacheslav Razuvaev                               
 3227,117086,ENISEJSK                                ,RU,+58:27:00,+092:09:00,  77, TG1,18840101,20190630,   15,Vyacheslav Razuvaev                               
 3228,117091,BOGUCHANY'                              ,RU,+58:22:59,+097:27:00, 131, TG1,19301001,20190630,   15,Vyacheslav Razuvaev                               
 3229,117096,TOMSK                                   ,RU,+56:30:00,+084:55:00, 141, TG1,18810101,20190630,   15,Vyacheslav Razuvaev                               
 3230,117101,KRASNOYARSK OP.P                        ,RU,+56:01:59,+092:45:00, 277, TG1,19140501,20190630,   15,Vyacheslav Razuvaev                               
 3231,117106,BARABINSK                               ,RU,+55:19:59,+078:22:00, 119, TG1,19001101,20190630,   15,Vyacheslav Razuvaev                               
 3231,929612,BARABINSK                               ,RU,+55:19:59,+078:22:00, 120, TG5,19820113,20221031,    -,Synoptical message from GTS
 3232,117437,IRTYSHSK                                ,KZ,+53:21:00,+075:27:00,  94, TG1,19360101,20011231,   15,Vyacheslav Razuvaev                               
 3232,929807,ERTIS                                   ,KZ,+53:21:00,+075:27:00,  94, TG5,19820113,20221031,    -,Synoptical message from GTS
 3233,117116,BARNAUL                                 ,RU,+53:25:59,+083:31:00, 183, TG1,19590101,20190630,   15,Vyacheslav Razuvaev                               
 3234,117121,MINUSINSK                               ,RU,+53:43:00,+091:42:00, 254, TG1,19101230,20190630,   15,Vyacheslav Razuvaev                               
 3235,117126,VITIM                                   ,RU,+59:27:00,+112:34:59, 186, TG1,19281015,20190430,   15,Vyacheslav Razuvaev                               
 3236,117131,KIRENSK                                 ,RU,+57:46:00,+108:04:00, 257, TG1,18920101,20190228,   15,Vyacheslav Razuvaev                               
 3237,117136,BODAJBO                                 ,RU,+57:51:00,+114:13:59, 278, TG1,19360101,20051231,   15,Vyacheslav Razuvaev                               
 3238,117141,CHARA                                   ,RU,+56:54:00,+118:16:00, 709, TG1,19380601,20190331,   15,Vyacheslav Razuvaev                               
 3239,117146,CHUL'MAN                                ,RU,+56:49:59,+124:52:00, 855, TG1,19360119,20190430,   15,Vyacheslav Razuvaev                               
 3240,117151,ZHIGALOVO                               ,RU,+54:48:00,+105:10:00, 417, TG1,19370801,20190228,   15,Vyacheslav Razuvaev                               
 3241,117156,TROIÑKIJ PRIISK                        ,RU,+54:37:00,+113:07:59,1315, TG1,19380301,20190331,   15,Vyacheslav Razuvaev                               
 3242,117161,BARGUZIN                                ,RU,+53:37:00,+109:37:59, 488, TG1,18980901,20190331,   15,Vyacheslav Razuvaev                               
 3243,117166,MOGOCHA                                 ,RU,+53:45:00,+119:43:59, 624, TG1,19100801,20190331,   15,Vyacheslav Razuvaev                               
 3244,117171,SKOVORODINO                             ,RU,+54:00:00,+123:58:00, 397, TG1,19120101,20190630,   15,Vyacheslav Razuvaev                               
 3245,117176,IRKUTSK OBSERV.                         ,RU,+52:16:00,+104:21:00, 467, TG1,18820101,20190228,   15,Vyacheslav Razuvaev                               
 3246,117181,CHITA                                   ,RU,+52:04:59,+113:28:59, 671, TG1,18900515,20190331,   15,Vyacheslav Razuvaev                               
 3247,117186,SRETENSK                                ,RU,+52:13:59,+117:42:00, 528, TG1,19360101,20190331,   15,Vyacheslav Razuvaev                               
 3248,117191,ULAN-UDE'                               ,RU,+51:49:59,+107:36:00, 514, TG1,18860401,20190331,   15,Vyacheslav Razuvaev                               
 3249,117196,KYAXTA                                  ,RU,+50:22:00,+106:27:00, 791, TG1,18950101,20190331,   15,Vyacheslav Razuvaev                               
 3250,117201,KY'RA                                   ,RU,+49:34:00,+111:58:00, 907, TG1,19270810,20190331,   15,Vyacheslav Razuvaev                               
 3251,117206,BORZYA                                  ,RU,+50:24:00,+116:31:00, 675, TG1,19010301,20190331,   15,Vyacheslav Razuvaev                               
 3252,117211,ALDAN                                   ,RU,+58:37:00,+125:01:59, 678, TG1,19370101,20190430,   15,Vyacheslav Razuvaev                               
 3253,117216,OXOTSK                                  ,RU,+59:22:00,+143:12:59,   5, TG1,18910101,20190630,   15,Vyacheslav Razuvaev                               
 3254,117221,AYAN                                    ,RU,+56:27:00,+138:09:00,   6, TG1,19311101,20190630,   15,Vyacheslav Razuvaev                               
 3255,117226,BOMNAK                                  ,RU,+54:43:00,+128:52:00, 365, TG1,19090619,20190630,   15,Vyacheslav Razuvaev                               
 3256,117231,E'KIMCHAN                               ,RU,+53:04:59,+132:58:59, 540, TG1,19140814,20190630,   15,Vyacheslav Razuvaev                               
 3257,117236,NIKOLAEVSK-NA-AMURE                     ,RU,+53:09:00,+140:42:59,  67, TG1,18810101,20190630,   15,Vyacheslav Razuvaev                               
 3258,117241,NORSK                                   ,RU,+52:21:00,+129:55:00, 207, TG1,19251012,20190630,   15,Vyacheslav Razuvaev                               
 3259,117246,IM. POLINY' OSIPENKO                    ,RU,+52:25:00,+136:30:00,  69, TG1,19360101,20190630,   15,Vyacheslav Razuvaev                               
 3260,117251,BLAGOVESÑENSK                          ,RU,+50:15:00,+127:30:00, 130, TG1,18810101,20190630,   15,Vyacheslav Razuvaev                               
 3261,117256,CHEKUNDA                                ,RU,+50:52:00,+132:15:00, 271, TG1,19360101,20190630,   15,Vyacheslav Razuvaev                               
 3262,117261,ARXARA                                  ,RU,+49:25:00,+130:04:59, 133, TG1,19360101,20190630,   15,Vyacheslav Razuvaev                               
 3263,117266,EKATERINO-NIKOL'SKOE                    ,RU,+47:43:59,+130:58:00,  72, TG1,19360101,20190630,   15,Vyacheslav Razuvaev                               
 3264,117271,XABAROVSK                               ,RU,+48:31:00,+135:10:00,  75, TG1,19520501,20190630,   15,Vyacheslav Razuvaev                               
 3265,117276,ZOLOTOJ                                 ,RU,+47:19:00,+138:58:59,  27, TG1,19360101,20100930,   15,Vyacheslav Razuvaev                               
 3266,117281,DAL'NERECHENSK                          ,RU,+45:52:00,+133:43:59, 100, TG1,19391010,20190630,   15,Vyacheslav Razuvaev                               
 3267,117286,TERNEJ                                  ,RU,+45:00:00,+136:36:00,  51, TG1,19231101,20190630,   15,Vyacheslav Razuvaev                               
 3268,117291,POGRANICHNY'J                           ,RU,+44:24:00,+131:22:59, 217, TG1,19020401,20190630,   15,Vyacheslav Razuvaev                               
 3269,117296,VLADIVOSTOK                             ,RU,+43:48:00,+131:55:59, 187, TG1,19110101,20190630,   15,Vyacheslav Razuvaev                               
 3270,117301,ALEKSANDROVSK-SAXALINSKIJ               ,RU,+50:54:00,+142:10:00,  30, TG1,18810106,20190630,   15,Vyacheslav Razuvaev                               
 3271,117306,PORONAJSK                               ,RU,+49:13:00,+143:06:00,   7, TG1,19080101,20190630,   15,Vyacheslav Razuvaev                               
 3272,117311,YUZHNO-KURIL'SK                         ,RU,+44:01:00,+145:52:00,  44, TG1,19470101,20190630,   15,Vyacheslav Razuvaev                               
 3273,117316,KLYUCHI                                 ,RU,+56:19:00,+160:49:59,  28, TG1,19140924,20190430,   15,Vyacheslav Razuvaev                               
 3274,117321,ICHA                                    ,RU,+55:34:59,+155:34:59,   5, TG1,19360101,20190131,   15,Vyacheslav Razuvaev                               
 3275,117326,PETROPAVLOVSK-KAMCHATSKIJ               ,RU,+52:58:59,+158:39:00,  32, TG1,18940801,20190430,   15,Vyacheslav Razuvaev                               
 3276,117462,LVIV                                    ,UA,+49:49:00,+023:57:00, 323, TG1,19360101,20051231,   15,Vyacheslav Razuvaev                               
 3276,933393,L VIV                                   ,UA,+49:49:00,+023:57:00, 323, TG5,19820113,20221018,    -,Synoptical message from GTS
 3277,117477,CHERNIVTSI                              ,UA,+48:22:00,+025:54:00, 246, TG1,19410301,20051231,   15,Vyacheslav Razuvaev                               
 3277,933658,CHERNIVTSI                              ,UA,+48:22:00,+025:54:00, 246, TG5,19820115,20221018,    -,Synoptical message from GTS
 3278,117542,ASTANA                                  ,KZ,+51:07:59,+071:22:00, 350, TG1,18820413,20051231,   15,Vyacheslav Razuvaev                               
 3278,935188,ASTANA                                  ,KZ,+51:07:59,+071:21:59, 350, TG5,19820113,20221031,    -,Synoptical message from GTS
 3279,117547,AKTOBE                                  ,KZ,+50:16:59,+057:09:00, 219, TG1,19041101,20051231,   15,Vyacheslav Razuvaev                               
 3280,114436,TAIPAK                                  ,KZ,+49:03:00,+051:52:00,   2, TG1,19250101,20051231,   55,Olga Zolina                                       
 3281,117572,IRGIZ                                   ,KZ,+48:37:00,+061:16:00, 156, TG1,19360101,20051231,   15,Vyacheslav Razuvaev                               
 3282,117582,KARSAKPAJ                               ,KZ,+47:49:59,+066:45:00, 488, TG1,19260301,19940718,   15,Vyacheslav Razuvaev                               
 3283,117597,BALHASH                                 ,KZ,+46:48:00,+075:04:59, 350, TG1,19360101,20051231,   15,Vyacheslav Razuvaev                               
 3283,935796,BALHASH                                 ,KZ,+46:48:00,+075:04:59, 350, TG5,19820116,20221031,    -,Synoptical message from GTS
 3284,117376,RUBÑOVSK                               ,RU,+51:34:59,+081:12:00, 216, TG1,19360101,20190630,   15,Vyacheslav Razuvaev                               
 3285,117602,SEMEJ                                   ,KZ,+50:25:00,+080:18:00, 196, TG1,19011101,20051231,   15,Vyacheslav Razuvaev                               
 3286,117607,ZAJSAN                                  ,KZ,+47:28:00,+084:55:00, 603, TG1,19360101,20051231,   15,Vyacheslav Razuvaev                               
 3287,117612,UCH-ARAL                                ,KZ,+46:10:00,+080:55:59, 388, TG1,19360101,20051231,   15,Vyacheslav Razuvaev                               
 3288,117617,ZHARKENT                                ,KZ,+44:10:00,+080:04:00, 645, TG1,19170101,20051231,   15,Vyacheslav Razuvaev                               
 3289,117622,ALMATY                                  ,KZ,+43:13:59,+076:55:59, 851, TG1,19150501,20051231,   15,Vyacheslav Razuvaev                               
 3289,936870,ALMATY                                  ,KZ,+43:13:59,+076:55:59, 851, TG5,19820114,20221031,    -,Synoptical message from GTS
 3290,117627,NARYN                                   ,KG,+41:25:59,+076:00:00,2041, TG1,19130101,19911231,   15,Vyacheslav Razuvaev                               
 3290,936974,NARYN                                   ,KG,+41:25:59,+076:00:00,2041, TG5,19840218,20221031,    -,Synoptical message from GTS
 3291,117632,SAMTREDIA                               ,GE,+42:10:59,+042:22:00,  26, TG1,19360101,19921231,   15,Vyacheslav Razuvaev                               
 3292,117682,TURKMEN-BASHI                           ,TM,+40:03:00,+053:00:00,  82, TG1,19360101,19981231,   15,Vyacheslav Razuvaev                               
 3292,938507,TURKMENBASHI                            ,TM,+40:03:00,+053:00:00,  82, TG5,19820115,20221031,    -,Synoptical message from GTS
 3293,117687,KHUDJAND                                ,TJ,+40:13:00,+069:43:59, 427, TG1,19360101,19970731,   15,Vyacheslav Razuvaev                               
 3293,938599,KHUDJANT                                ,TJ,+40:13:00,+069:43:59, 427, TG5,19840218,20221031,    -,Synoptical message from GTS
 3294,117702,SAMARKAND                               ,UZ,+39:34:00,+066:57:00, 724, TG1,19360101,20051231,   15,Vyacheslav Razuvaev                               
 3294,938696,SAMARKAND                               ,UZ,+39:34:00,+066:57:00, 724, TG5,19820202,20221031,    -,Synoptical message from GTS
 3295,117707,ESENGYLY                                ,TM,+37:28:00,+053:37:59, -22, TG1,19260521,19981231,   15,Vyacheslav Razuvaev                               
 3296,117722,ASHGABAT                                ,TM,+37:58:00,+058:19:59, 208, TG1,19370601,19981231,   15,Vyacheslav Razuvaev                               
 3297,117737,KURGAN-TYUBE                            ,TJ,+37:49:00,+068:46:59, 429, TG1,19360101,19970217,   15,Vyacheslav Razuvaev                               
 3297,938933,KURGAN-TYUBE                            ,TJ,+37:49:00,+068:46:59, 429, TG5,19840229,20221030,    -,Synoptical message from GTS
 3298,117747,SARAGT                                  ,TM,+36:31:59,+061:13:00, 275, TG1,19360101,19981231,   15,Vyacheslav Razuvaev                               
 3298,938974,SARAGT                                  ,TM,+36:31:59,+061:13:00, 275, TG5,19820123,20221031,    -,Synoptical message from GTS
 3299,117752,GYSHGY                                  ,TM,+35:16:59,+062:21:00, 625, TG1,19040901,19981231,   15,Vyacheslav Razuvaev                               
 3299,938987,GYSHGY                                  ,TM,+35:16:59,+062:21:00, 625, TG5,19840229,20221031,    -,Synoptical message from GTS
 3301,114858,CRNOMELJ-DOBLICE                        ,SI,+45:33:36,+015:08:45, 157, TG8,19890101,20220930,   30,Tanja Cegnar                                      
 3301,914120,CRNOMELJ                                ,SI,+45:34:00,+015:09:00, 157, TG5,19960502,20221031,    -,Synoptical message from GTS
 3311,114958,KOCEVJE                                 ,SI,+45:38:44,+014:50:58, 468, TG8,19610101,20220930,   30,Tanja Cegnar                                      
 3311,914118,KOCEVJE                                 ,SI,+45:39:00,+014:51:00, 467, TG5,19960502,20211231,    -,Synoptical message from GTS
 3312,114968,LESCE                                   ,SI,+46:21:39,+014:09:42, 503, TG8,19790101,20180331,   30,Tanja Cegnar                                      
 3312,914010,LESCE                                   ,SI,+46:22:00,+014:10:59, 515, TG5,19960416,20221031,    -,Synoptical message from GTS
 3316,115008,TOPOL PRI MEDVODAH                      ,SI,+46:05:35,+014:22:13, 662, TG8,19900101,20220930,   30,Tanja Cegnar                                      
 3316,914012,KATARINA                                ,SI,+46:06:00,+014:22:00, 685, TG5,19960416,20211030,    -,Synoptical message from GTS
 3317,115018,VOJSKO                                  ,SI,+46:01:31,+013:54:07,1065, TG8,19610101,20220930,   30,Tanja Cegnar                                      
 3317,914009,VOJSKO                                  ,SI,+46:01:59,+013:54:00,1067, TG5,19960416,20121203,    -,Synoptical message from GTS
 3322,115068,NOVA VAS NA BLOKAH                      ,SI,+45:46:23,+014:30:33, 720, TG8,19610101,20220930,   30,Tanja Cegnar                                      
 3323,115078,POSTOJNA                                ,SI,+45:45:57,+014:11:35, 533, TG8,19620101,20220930,   30,Tanja Cegnar                                      
 3323,914112,POSTOJNA                                ,SI,+45:46:00,+014:12:00, 533, TG5,19960416,20221031,    -,Synoptical message from GTS
 3325,115098,VELIKI DOLENCI                          ,SI,+46:50:11,+016:17:16, 308, TG8,19780101,20181130,   30,Tanja Cegnar                                      
 3325,912910,SZENTGOTTHARD/FARKASFA                  ,HU,+46:55:00,+016:19:00, 313, TG5,19820113,20221031,    -,Synoptical message from GTS
 3326,115108,BILJE                                   ,SI,+45:53:44,+013:37:26,  55, TG8,19920101,20221031,   30,Tanja Cegnar                                      
 3326,914106,BILJE                                   ,SI,+45:54:00,+013:37:59,  56, TG5,19960416,20221031,    -,Synoptical message from GTS
 3328,115128,NOVO MESTO                              ,SI,+45:48:06,+015:10:37, 220, TG8,19730101,20221031,   30,Tanja Cegnar                                      
 3328,914121,NOVO MESTO                              ,SI,+45:48:00,+015:10:59, 220, TG5,19960502,20221031,    -,Synoptical message from GTS
 3329,115138,SMARTNO PRI SLOVENJ GRADCU              ,SI,+46:29:22,+015:06:39, 444, TG8,19610101,20221031,   30,Tanja Cegnar                                      
 3329,914021,SLOVENJ GRADEC                          ,SI,+46:28:59,+015:07:00, 452, TG5,19960416,20221031,    -,Synoptical message from GTS
 3330,115148,LETALISCE JOZETA PUCNIKA LJUBLJANA      ,SI,+46:12:41,+014:28:41, 362, TG8,19640101,20221031,   30,Tanja Cegnar                                      
 3330,914014,LJUBLJANA/BRNIK                         ,SI,+46:13:00,+014:28:59, 384, TG5,19960502,20221020,    -,Synoptical message from GTS
 3331,115158,LETALISCE EDVARDA RUSJANA MARIBOR       ,SI,+46:28:46,+015:40:54, 264, TG8,19770101,20221031,   30,Tanja Cegnar                                      
 3331,914026,MARIBOR/SLIVNICA                        ,SI,+46:28:59,+015:40:59, 265, TG5,19960416,20221027,    -,Synoptical message from GTS
 3332,115168,PORTOROZ-LETALISCE                      ,SI,+45:28:31,+013:36:57,   2, TG8,19870101,20221031,   30,Tanja Cegnar                                      
 3332,914105,PORTOROZ/SECOVLJE                       ,SI,+45:28:59,+013:37:00,   3, TG5,19960416,20221031,    -,Synoptical message from GTS
 3333,115178,CELJE-MEDLOG                            ,SI,+46:14:12,+015:13:32, 242, TG8,20090101,20221031,   30,Tanja Cegnar                                      
 3333,914023,CELJE                                   ,SI,+46:15:00,+015:15:00, 241, TG5,19960416,20221031,    -,Synoptical message from GTS
 3334,115188,LISCA                                   ,SI,+46:04:04,+015:17:06, 947, TG8,19850101,20221031,   30,Tanja Cegnar                                      
 3334,914024,LISCA                                   ,SI,+46:04:00,+015:16:59, 941, TG5,19960502,20221031,    -,Synoptical message from GTS
 3335,115198,MURSKA SOBOTA-RAKICAN                   ,SI,+46:39:07,+016:11:29, 187, TG8,19610101,20221031,   30,Tanja Cegnar                                      
 3335,914031,MURSKA SOBOTA                           ,SI,+46:39:00,+016:10:59, 188, TG5,19960502,20221026,    -,Synoptical message from GTS
 3336,115208,RATECE-PLANICA                          ,SI,+46:30:00,+013:42:00, 864, TG8,19610101,20221031,   30,Tanja Cegnar                                      
 3336,914007,RATECE                                  ,SI,+46:30:00,+013:43:00, 865, TG5,19960416,20221031,    -,Synoptical message from GTS
 3506,115773,STUTTGART-SCHNARRENBERG                 ,DE,+48:49:45,+009:12:03, 314, TG3,19580101,20221031,   11,National Climate Data Center (DWD)                
 3507,107012,BRAEMAR                                 ,GB,+57:00:21,-003:23:48, 339, TG5,19600101,20050430,   35,National Climate Information Centre (UKMO)        
 3507,115808,BRAEMAR-1                               ,GB,+57:00:39,-003:23:45, 327, TG5,20050628,20221031,   35,National Climate Information Centre (UKMO)        
 3508,107037,LOWESTOFT                               ,GB,+52:29:21,+001:44:45,  25, TG5,18890103,20041231,   35,National Climate Information Centre (UKMO)        
 3508,115812,LOWESTOFT MONKTON AVENUE                ,GB,+52:28:59,+001:43:51,  18, TG5,20050101,20101030,   35,National Climate Information Centre (UKMO)        
 3509,135162,MALMO A                                 ,SE,+55:34:17,+013:04:23,  20, TG6,19900101,20221031,   56,Marcus Flarup                                     
 3509,135165,MALMO                                   ,SE,+55:36:36,+013:04:48,  20, TG6,19260601,19891231,   56,Marcus Flarup                                     
 3509,135171,MALMO_2                                 ,SE,+55:36:00,+012:58:48,   3, TG6,19170322,19640430,   56,Marcus Flarup                                     
 3509,902635,MALMO                                   ,SE,+55:34:00,+013:04:00,  21, TG5,19931122,20221031,    -,Synoptical message from GTS
 3510,135414,TORUP A                                 ,SE,+56:56:58,+013:03:45, 130, TG6,20080101,20221031,   56,Marcus Flarup                                     
 3510,902618,TORPUP A                                ,SE,+56:57:00,+013:04:00, 135, TG5,20090609,20221031,    -,Synoptical message from GTS
 3511,135390,FROSLIDA                                ,SE,+56:52:12,+013:04:12,  70, TG6,19610101,19720531,   56,Marcus Flarup                                     
 3511,135417,TORUP                                   ,SE,+56:57:47,+013:04:15,  85, TG6,19721101,20080731,   56,Marcus Flarup                                     
 3511,163662,KINNARED                                ,SE,+57:01:48,+013:07:12, 100, TG6,19610101,19701231,   56,Marcus Flarup                                     
 3512,135486,NIDINGEN A                              ,SE,+57:18:14,+011:54:23,   2, TG6,19690901,20221031,   56,Marcus Flarup                                     
 3512,902518,NIDINGEN                                ,SE,+57:18:00,+011:54:00,   2, TG5,19821202,20221031,    -,Synoptical message from GTS
 3513,135495,MALILLA A                               ,SE,+57:23:04,+015:48:12,  95, TG6,20080101,20221031,   56,Marcus Flarup                                     
 3513,135498,MALILLA                                 ,SE,+57:23:30,+015:54:48, 100, TG6,19461212,20120930,   56,Marcus Flarup                                     
 3513,902566,MALILLA                                 ,SE,+57:24:00,+015:49:00,  98, TG5,19820114,20080218,    -,Synoptical message from GTS
 3514,135984,NORDKOSTER A                            ,SE,+58:53:33,+011:00:21,  33, TG6,19670901,20221031,   56,Marcus Flarup                                     
 3514,135996,STROMSTAD                               ,SE,+58:55:48,+011:12:00,  20, TG6,19500112,19730930,   56,Marcus Flarup                                     
 3514,902500,NORDKOSTER                              ,SE,+58:54:00,+011:00:00,  35, TG5,19931122,20221031,    -,Synoptical message from GTS
 3515,135753,HARSTENA                                ,SE,+58:15:00,+017:00:36,   5, TG6,19430101,20000526,   56,Marcus Flarup                                     
 3515,135756,HARSTENA A                              ,SE,+58:15:02,+017:00:38,  14, TG6,19960318,20221031,   56,Marcus Flarup                                     
 3515,902563,HARSTENA                                ,SE,+58:15:00,+017:01:00,  18, TG5,20001024,20221031,    -,Synoptical message from GTS
 3516,135804,GOTSKA SANDON                           ,SE,+58:24:00,+019:12:00,  11, TG6,18801023,20061231,   56,Marcus Flarup                                     
 3516,135810,GOTSKA SANDON A                         ,SE,+58:23:39,+019:11:51,  16, TG6,19951218,20221031,   56,Marcus Flarup                                     
 3517,136107,KILSBERGEN-SUTTARBODA A                 ,SE,+59:18:00,+014:53:54, 219, TG6,19950801,20221031,   56,Marcus Flarup                                     
 3517,902452,KILSBERGEN-SUTTARBODA                   ,SE,+59:18:00,+014:54:00, 219, TG5,20001024,20221031,    -,Synoptical message from GTS
 3518,136041,RIKSTEN                                 ,SE,+59:10:48,+017:55:12,  45, TG6,19510101,19850630,   56,Marcus Flarup                                     
 3518,136053,TULLINGE A                              ,SE,+59:10:44,+017:54:45,  45, TG6,19510101,20221031,   56,Marcus Flarup                                     
 3518,902469,TULLINGE                                ,SE,+59:10:59,+017:55:00,  45, TG5,19980901,20221031,    -,Synoptical message from GTS
 3519,136134,STOCKHOLM-BROMMA                        ,SE,+59:21:12,+017:57:05,  14, TG6,19491130,20221031,   56,Marcus Flarup                                     
 3519,136167,BARKARBY                                ,SE,+59:25:12,+017:52:48,  17, TG6,19501108,19730630,   56,Marcus Flarup                                     
 3519,902464,STOCKHOLM/BROMMA                        ,SE,+59:22:00,+017:53:58,  14, TG5,19820113,20221031,    -,Synoptical message from GTS
 3520,136395,BORLANGE FLYGPLATS                      ,SE,+60:25:45,+015:30:28, 152, TG6,19520310,20221031,   56,Marcus Flarup                                     
 3520,136404,BORLANGE_AUT                            ,SE,+60:28:48,+015:25:48, 140, TG6,19900101,19990308,   56,Marcus Flarup                                     
 3520,136407,DOMNARVET                               ,SE,+60:30:00,+015:27:00, 128, TG6,19610801,19671231,   56,Marcus Flarup                                     
 3520,136413,BORLANGE                                ,SE,+60:30:00,+015:27:36, 145, TG6,19740401,19780430,   56,Marcus Flarup                                     
 3520,902435,BORLANGE                                ,SE,+60:25:59,+015:31:00, 150, TG5,19960928,20221031,    -,Synoptical message from GTS
 3521,136488,AMOT A                                  ,SE,+60:57:42,+016:25:51, 162, TG6,19950801,20221031,   56,Marcus Flarup                                     
 3521,136491,AMOTSBRUK                               ,SE,+60:57:36,+016:27:36, 145, TG6,19610101,19960120,   56,Marcus Flarup                                     
 3521,902440,AMOT                                    ,SE,+60:58:00,+016:25:59, 162, TG5,19980901,20221031,    -,Synoptical message from GTS
 3522,136356,DANNEMORA                               ,SE,+60:12:00,+017:54:59,  33, TG6,19630401,19810531,   56,Marcus Flarup                                     
 3522,136359,FILMS_KYRKBY                            ,SE,+60:14:24,+017:54:36,  39, TG6,19820201,20000509,   56,Marcus Flarup                                     
 3522,136362,FILMS KYRKBY A                          ,SE,+60:14:11,+017:54:28,  33, TG6,20000601,20221031,   56,Marcus Flarup                                     
 3522,902456,FILM                                    ,SE,+60:13:59,+017:53:58,  35, TG5,19960202,20221031,    -,Synoptical message from GTS
 3523,136563,HOLICK                                  ,SE,+61:37:12,+017:26:24,   8, TG6,19870601,19951031,   56,Marcus Flarup                                     
 3523,136581,KUGGOREN A                              ,SE,+61:42:11,+017:31:29,   8, TG6,19700701,20221031,   56,Marcus Flarup                                     
 3523,902355,KUGGOREN                                ,SE,+61:42:00,+017:31:59,  10, TG5,19960928,20221031,    -,Synoptical message from GTS
 3524,136665,TANNAS A                                ,SE,+62:27:01,+012:40:13, 723, TG6,19951122,20221031,   56,Marcus Flarup                                     
 3524,902308,TANNAS                                  ,SE,+62:27:00,+012:40:00, 724, TG5,19960928,20221031,    -,Synoptical message from GTS
 3525,136617,SVEG                                    ,SE,+62:01:09,+014:11:25, 432, TG6,18760203,20121031,   56,Marcus Flarup                                     
 3526,136683,SUNDSVALLS FLYGPLATS                    ,SE,+62:31:28,+017:26:27,   4, TG6,19551201,20221031,   56,Marcus Flarup                                     
 3528,108913,OESTERSUND                              ,SE,+63:10:59,+014:28:59, 376, TG6,19180101,19531231,    1,Markku Rummukainen                                
 3528,136791,FROSON_D                                ,SE,+63:11:24,+014:29:24, 375, TG6,20021101,20060630,   56,Marcus Flarup                                     
 3528,136794,FROSON                                  ,SE,+63:11:51,+014:29:11, 376, TG6,19440101,20221031,   56,Marcus Flarup                                     
 3528,136797,ROSTA                                   ,SE,+63:14:24,+014:33:00, 360, TG6,19430101,20111231,   56,Marcus Flarup                                     
 3528,158035,OESTERSUND-FROESOEN                     ,SE,+63:10:59,+014:28:59, 376, TG6,18601008,19800630,   56,Marcus Flarup                                     
 3529,136872,JUNSELE                                 ,SE,+63:41:03,+016:57:02, 215, TG6,19090107,20080630,   56,Marcus Flarup                                     
 3529,136875,JUNSELE A                               ,SE,+63:41:06,+016:57:11, 214, TG6,20080101,20221031,   56,Marcus Flarup                                     
 3529,902243,JUNSELE A                               ,SE,+63:40:59,+016:57:00, 221, TG5,20090609,20221031,    -,Synoptical message from GTS
 3530,136872,JUNSELE                                 ,SE,+63:41:03,+016:57:02, 215, TG6,19090107,20080630,   56,Marcus Flarup                                     
